Date,AAPL,IBM
12/5/2014,18.6211,115.6534
13/5/2014,18.6503,115.4252
14/5/2014,18.6538,113.3411
15/5/2014,18.4952,111.9838
16/5/2014,18.7681,112.3442
19/5/2014,18.9905,112.3081
20/5/2014,18.9943,111.0409
21/5/2014,19.0445,111.9418
22/5/2014,19.0747,111.5154
23/5/2014,19.2902,111.6715
27/5/2014,19.6514,110.9749
28/5/2014,19.6006,109.9539
29/5/2014,19.9576,110.3623
30/5/2014,19.8829,110.7226
2/6/2014,19.7463,111.5214
3/6/2014,20.0255,110.7286
4/6/2014,20.2542,110.8127
5/6/2014,20.3336,111.6956
6/6/2014,20.2778,111.9298
9/6/2014,20.6022,111.8397
10/6/2014,20.7231,110.6806
11/6/2014,20.6374,109.4554
12/6/2014,20.2922,108.8368
13/6/2014,20.0701,109.6416
16/6/2014,20.2724,109.5155
17/6/2014,20.246,109.4614
18/6/2014,20.268,110.2662
19/6/2014,20.1976,109.7977
20/6/2014,19.9888,109.035
23/6/2014,19.9712,109.3893
24/6/2014,19.8502,108.6326
25/6/2014,19.8678,108.5365
26/6/2014,19.9866,108.3263
27/6/2014,20.224,109.1311
30/6/2014,20.4329,108.8668
1/7/2014,20.5626,111.9178
2/7/2014,20.5538,113.143
3/7/2014,20.6748,113.227
7/7/2014,21.1013,112.9327
8/7/2014,20.965,112.4403
9/7/2014,20.9738,113.161
10/7/2014,20.8968,112.7286
11/7/2014,20.9364,112.9087
14/7/2014,21.2069,114.0258
15/7/2014,20.9584,113.203
16/7/2014,20.8397,115.5273
17/7/2014,20.4681,115.6053
18/7/2014,20.7627,115.6113
21/7/2014,20.655,114.6204
22/7/2014,20.8265,116.5662
23/7/2014,21.3696,116.29
24/7/2014,21.3344,117.2569
25/7/2014,21.4751,116.7524
28/7/2014,21.7719,117.5812
29/7/2014,21.6312,116.8545
30/7/2014,21.5807,116.5122
31/7/2014,21.02,115.1129
1/8/2014,21.1365,113.5994
4/8/2014,21.0178,113.8937
5/8/2014,20.9144,112.3682
6/8/2014,20.8793,112.3501
7/8/2014,20.877,111.3412
8/8/2014,20.9345,112.7488
11/8/2014,21.2107,113.2563
12/8/2014,21.2063,113.1777
13/8/2014,21.4869,113.5463
14/8/2014,21.5444,113.504
15/8/2014,21.6504,113.2019
18/8/2014,21.9112,114.3981
19/8/2014,22.2139,114.827
20/8/2014,22.2227,114.8452
21/8/2014,22.2249,115.5278
22/8/2014,22.3885,115.0324
25/8/2014,22.4371,115.4855
26/8/2014,22.2934,116.5911
27/8/2014,22.5674,116.144
28/8/2014,22.594,115.993
29/8/2014,22.6492,116.1742
2/9/2014,22.826,115.7272
3/9/2014,21.8626,115.9628
4/9/2014,21.6814,115.1955
5/9/2014,21.8692,115.5097
8/9/2014,21.7344,114.8693
9/9/2014,21.6526,114.7787
10/9/2014,22.3178,115.7151
11/9/2014,22.4128,115.8238
12/9/2014,22.4636,115.558
15/9/2014,22.457,115.8782
16/9/2014,22.2868,116.573
17/9/2014,22.4459,116.4763
18/9/2014,22.4923,117.0502
19/9/2014,22.3089,117.2013
22/9/2014,22.331,116.6636
23/9/2014,22.6801,115.7634
24/9/2014,22.4835,116.1803
25/9/2014,21.6261,114.1866
26/9/2014,22.2625,114.821
29/9/2014,22.1211,114.5672
30/9/2014,22.2625,114.682
1/10/2014,21.9156,113.075
2/10/2014,22.0747,112.918
3/10/2014,22.0128,113.9812
6/10/2014,22.0128,114.2048
7/10/2014,21.8206,112.193
8/10/2014,22.2736,114.3981
9/10/2014,22.3222,112.6219
10/10/2014,22.2581,112.3259
13/10/2014,22.0548,110.87
14/10/2014,21.8206,111.0391
15/10/2014,21.5532,109.8007
16/10/2014,21.2704,108.6468
17/10/2014,21.5819,109.9819
20/10/2014,22.0438,102.1584
21/10/2014,22.6426,98.6122
22/10/2014,22.7575,97.7422
23/10/2014,23.1641,97.9778
24/10/2014,23.2502,97.9174
27/10/2014,23.2259,97.7905
28/10/2014,23.5861,98.8357
29/10/2014,23.7187,98.7511
30/10/2014,23.6391,99.2888
31/10/2014,23.8645,99.319
3/11/2014,24.1739,99.2948
4/11/2014,23.9971,98.2618
5/11/2014,24.0546,97.7603
6/11/2014,24.1234,98.2105
7/11/2014,24.1922,98.5815
10/11/2014,24.1522,99.4452
11/11/2014,24.3453,99.3297
12/11/2014,24.6893,98.4903
13/11/2014,25.0377,99.0194
14/11/2014,25.3395,99.8528
17/11/2014,25.2973,99.8528
18/11/2014,25.6258,98.472
19/11/2014,25.4483,98.1922
20/11/2014,25.8122,97.7117
21/11/2014,25.8477,97.882
24/11/2014,26.3271,98.6302
25/11/2014,26.0985,98.3929
26/11/2014,26.4092,98.5085
28/11/2014,26.3937,98.6423
1/12/2014,25.537,98.2591
2/12/2014,25.4394,98.9465
3/12/2014,25.7279,100.0717
4/12/2014,25.6302,99.7859
5/12/2014,25.5215,99.3114
8/12/2014,24.9445,98.4538
9/12/2014,25.3262,99.1411
10/12/2014,24.8446,97.6326
11/12/2014,24.7714,97.9732
12/12/2014,24.3519,94.5122
15/12/2014,24.0168,93.101
16/12/2014,23.6906,92.0974
17/12/2014,24.2809,92.4137
18/12/2014,25,95.9112
19/12/2014,24.8069,96.4161
22/12/2014,25.0643,98.1983
23/12/2014,24.9756,98.6849
24/12/2014,24.8579,98.4294
26/12/2014,25.2973,98.7457
29/12/2014,25.2796,97.6326
30/12/2014,24.9711,97.3528
31/12/2014,24.4962,97.59
2/1/2015,24.2632,98.5754
5/1/2015,23.5796,97.0243
6/1/2015,23.5819,94.9319
7/1/2015,23.9125,94.3115
8/1/2015,24.8313,96.3613
9/1/2015,24.8579,96.781
12/1/2015,24.2454,95.157
13/1/2015,24.4607,95.382
14/1/2015,24.3675,94.7677
15/1/2015,23.7061,94.0195
16/1/2015,23.5219,95.5828
20/1/2015,24.1278,95.4672
21/1/2015,24.312,92.511
22/1/2015,24.9445,94.5183
23/1/2015,25.0732,94.8103
26/1/2015,25.0998,95.1083
27/1/2015,24.221,93.4721
28/1/2015,25.5903,92.1826
29/1/2015,26.387,94.573
30/1/2015,26.0009,93.2531
2/2/2015,26.3271,94.0743
3/2/2015,26.3315,96.3917
4/2/2015,26.5335,95.4733
5/2/2015,26.7229,96.0511
6/2/2015,26.4978,95.996
9/2/2015,26.6738,95.4018
10/2/2015,27.1863,97.123
11/2/2015,27.8235,96.9025
12/2/2015,28.1755,97.0985
13/2/2015,28.3137,98.2501
17/2/2015,28.4808,98.5931
18/2/2015,28.6768,99.3465
19/2/2015,28.6189,100.3878
20/2/2015,28.8506,100.2408
23/2/2015,29.6327,99.7876
24/2/2015,29.4477,100.9636
25/2/2015,28.6947,99.7263
26/2/2015,29.0556,98.538
27/2/2015,28.6211,99.1934
2/3/2015,28.7615,98.2991
3/3/2015,28.8217,98.636
4/3/2015,28.639,97.6498
5/3/2015,28.1644,98.7279
6/3/2015,28.2067,97.0863
9/3/2015,28.327,98.4767
10/3/2015,27.7411,96.6636
11/3/2015,27.2353,96.045
12/3/2015,27.7277,96.7678
13/3/2015,27.5361,94.5014
16/3/2015,27.8391,96.2165
17/3/2015,28.3048,96.143
18/3/2015,28.6234,97.8887
19/3/2015,28.4072,97.8887
20/3/2015,28.0508,99.7692
23/3/2015,28.3426,100.8411
24/3/2015,28.2268,99.8427
25/3/2015,27.4893,97.5151
26/3/2015,27.6809,98.3665
27/3/2015,27.4603,98.2501
30/3/2015,28.1555,99.6405
31/3/2015,27.7232,98.3114
1/4/2015,27.6831,97.5028
2/4/2015,27.9215,98.2807
6/4/2015,28.3738,99.2546
7/4/2015,28.0753,99.273
8/4/2015,27.9839,99.1383
9/4/2015,28.1978,99.4384
10/4/2015,28.3181,99.7569
13/4/2015,28.2624,99.4629
14/4/2015,28.1399,99.4139
15/4/2015,28.2468,100.5348
16/4/2015,28.1109,99.9223
17/4/2015,27.7945,98.4155
20/4/2015,28.4295,101.7783
21/4/2015,28.2758,100.6145
22/4/2015,28.6568,101.2883
23/4/2015,28.8907,104.2774
24/4/2015,29.0266,103.9956
27/4/2015,29.5547,104.5775
28/4/2015,29.089,106.5315
29/4/2015,28.6612,106.8255
30/4/2015,27.8837,104.9206
1/5/2015,28.7303,106.3784
4/5/2015,28.6746,106.5622
5/5/2015,28.0285,106.017
6/5/2015,27.8525,104.9493
7/5/2015,28.0247,105.5295
8/5/2015,28.5527,106.5725
11/5/2015,28.2619,105.6097
12/5/2015,28.159,105.2579
13/5/2015,28.1925,106.3256
14/5/2015,28.8503,107.418
15/5/2015,28.81,106.9304
18/5/2015,29.1277,106.807
19/5/2015,29.1009,107.0662
20/5/2015,29.0987,107.239
21/5/2015,29.3962,106.9798
22/5/2015,29.6535,106.2886
26/5/2015,29.0002,104.9987
27/5/2015,29.5416,106.1528
28/5/2015,29.4835,105.9738
29/5/2015,29.1479,104.7024
1/6/2015,29.206,105.0295
2/6/2015,29.0763,104.7024
3/6/2015,29.1121,104.8691
4/6/2015,28.942,103.9186
5/6/2015,28.7832,103.3138
8/6/2015,28.593,102.0425
9/6/2015,28.508,102.2523
10/6/2015,28.8347,104.2519
11/6/2015,28.7698,104.1655
12/6/2015,28.4521,103.0608
15/6/2015,28.3961,102.6102
16/6/2015,28.5483,102.9682
17/6/2015,28.4812,103.1719
18/6/2015,28.6109,103.8384
19/6/2015,28.3245,103.0608
22/6/2015,28.5505,103.5175
23/6/2015,28.4207,104.0668
24/6/2015,28.6624,103.0484
25/6/2015,28.5259,102.4992
26/6/2015,28.3581,102.1165
29/6/2015,27.8614,100.5798
30/6/2015,28.0628,100.3884
1/7/2015,28.3245,101.5179
2/7/2015,28.2887,101.8882
6/7/2015,28.1903,101.666
7/7/2015,28.1209,101.8326
8/7/2015,27.4229,100.697
9/7/2015,26.8636,101.1229
10/7/2015,27.5817,103.0361
13/7/2015,28.1142,104.5358
14/7/2015,28.103,104.0606
15/7/2015,28.3738,104.0112
16/7/2015,28.7519,105.5356
17/7/2015,29.0002,106.4675
20/7/2015,29.5484,106.9057
21/7/2015,29.253,100.6415
22/7/2015,28.0158,98.9628
23/7/2015,28.0024,99.8145
24/7/2015,27.8547,98.5925
27/7/2015,27.4676,98.1728
28/7/2015,27.6041,98.7776
29/7/2015,27.5169,99.4195
30/7/2015,27.3782,99.3393
31/7/2015,27.1388,99.9749
3/8/2015,26.4989,97.9506
4/8/2015,25.6487,97.2656
5/8/2015,25.8187,97.4507
6/8/2015,25.8749,97.2765
7/8/2015,25.9626,96.5297
10/8/2015,26.9065,97.5441
11/8/2015,25.5063,96.7724
12/8/2015,25.8996,97.1769
13/8/2015,25.8794,96.4986
14/8/2015,26.0615,96.9218
17/8/2015,26.3312,97.2703
18/8/2015,26.1828,97.0836
19/8/2015,25.848,95.7954
20/8/2015,25.3176,94.9989
21/8/2015,23.7691,92.628
24/8/2015,23.1757,89.28
25/8/2015,23.3151,87.7181
26/8/2015,24.6523,91.29
27/8/2015,25.3782,92.4351
28/8/2015,25.4614,92.0866
31/8/2015,25.3423,92.0306
1/9/2015,24.2096,88.7884
2/9/2015,25.2479,90.2633
3/9/2015,24.8051,91.3398
4/9/2015,24.5579,89.4232
8/9/2015,25.2411,91.6199
